Service,SGD_RMSE,SGD_Time,LGBM_RMSE,LGBM_Time,XGB_RMSE,XGB_Time
GREEN,4.97,0.04,2.15,2.4,2.33,1.6
YELLOW,33.02,0.51,14.04,5.09,14.95,5.37
FHV,2.86,0.33,1.68,3.01,1.84,2.98
FHVHV,48.28,2.23,36.54,21.37,38.73,23.16
GLOBAL,250000894.49,3.07,39.26,21.69,38.65,22.71
