year,trip_count
2026,8
2032,2
2038,8
2042,2
2084,16
2098,1
2002,531
2012,342718015
2014,330895159
2020,40361554
2023,38310138
2024,41169691
2025,3475210
2029,13
2031,4
2033,6
2090,2
2003,74
2019,169194618
2022,39655622
2028,1
2053,4
2070,1
2088,4
2001,42
2004,1
2008,1376
2010,2
2015,292078464
2016,262263610
2021,30903987
2037,2
2041,6
2058,6
2066,2
2009,2287
2011,4
2013,343632680
2017,227000772
2018,205741048
